CustomerId,Gender,Age,IsActiveMember,Purchased
15634602,Female,42,1,1
15647311,Female,41,1,0
15619304,Female,42,0,1
15701354,Female,39,0,0
15737888,Female,43,1,0
15574012,Male,44,0,1
15592531,Male,50,1,0
15656148,Female,29,0,1
15792365,Male,44,1,0
15592389,Male,27,1,0
15767821,Male,31,0,0
15737173,Male,24,0,0
15632264,Female,34,0,0
15691483,Female,25,0,0
15600882,Female,35,1,0
15643966,Male,45,1,0
15737452,Male,58,0,1
15788218,Female,24,1,0
15661507,Male,45,0,0
15568982,Female,24,1,0
15577657,Male,41,1,0
15597945,Female,32,0,0
15699309,Female,38,0,1
15725737,Male,46,1,0
15625047,Female,38,1,0
15738191,Male,25,1,0
15736816,Male,36,1,0
15700772,Male,44,0,0
15728693,Female,43,1,0
15656300,Male,29,1,0
15589475,Female,39,0,1
15706552,Male,36,1,0
15750181,Male,41,0,0
15659428,Female,42,1,0
15732963,Female,29,1,0
15794171,Female,45,0,1
15788448,Male,31,1,0
15729599,Male,33,1,0
15717426,Male,36,1,0
15585768,Male,41,1,0
15619360,Male,40,0,0
15738148,Female,51,0,1
15687946,Female,61,1,0
15755196,Female,49,0,1
15684171,Female,61,1,0
15754849,Female,32,1,0
15602280,Female,27,1,1
15771573,Female,39,1,1
15766205,Male,38,1,0
15771873,Female,37,0,0
15616550,Male,44,0,0
15768193,Male,36,0,0
15683553,Female,33,0,0
15702298,Male,41,0,1
15569590,Male,42,0,1
15760861,Male,43,1,0
15630053,Male,45,0,0
15647091,Male,19,0,0
15623944,Female,66,0,1
15804771,Male,51,1,0
15651280,Male,35,0,0
15773469,Female,27,0,0
15702014,Male,33,0,0
15751208,Male,56,1,0
15592461,Male,26,1,0
15789484,Female,36,1,0
15696061,Female,34,0,0
15641582,Male,43,1,0
15638424,Female,35,1,0
15755648,Female,21,0,0
15703793,Male,58,0,1
15620344,Male,29,0,0
15812518,Female,37,1,0
15779052,Female,25,1,0
15770811,Male,36,1,0
15780961,Female,21,0,0
15614049,Male,55,1,0
15662085,Female,32,1,0
15575185,Male,33,1,0
15803136,Female,41,0,0
15706021,Female,34,0,0
15663706,Female,32,0,1
15641732,Female,36,0,0
15701164,Female,34,1,0
15738751,Female,46,0,0
15805254,Female,75,1,0
15762418,Male,22,0,1
15625759,Male,30,0,0
15622897,Female,46,0,1
15767954,Female,28,1,0
15757535,Female,44,1,1
15731511,Male,45,0,0
15809248,Female,36,0,0
15640635,Male,29,1,0
15676966,Male,42,1,0
15699461,Male,35,1,0
15738721,Male,41,1,0
15693683,Male,29,1,0
15604348,Male,22,0,0
15633059,Male,34,0,0
15808582,Female,40,1,0
15743192,Female,44,0,0
15580146,Male,31,0,0
15776605,Male,36,0,0
15804919,Female,65,1,1
15613854,Female,46,1,1
15599195,Male,32,1,0
15812878,Female,36,1,0
15602312,Male,33,0,0
15744689,Male,35,0,1
15803526,Male,30,1,0
15665790,Male,39,0,0
15715951,Male,42,0,0
15591100,Male,36,1,0
15609618,Male,28,1,1
15675522,Female,30,1,0
15705512,Female,37,0,0
15698028,Female,41,0,0
15661670,Female,31,0,1
15600781,Male,34,0,0
15682472,Male,34,0,0
15580203,Male,39,0,0
15690673,Female,39,0,0
15760085,Female,48,1,0
15779659,Female,28,0,0
15627360,Male,42,0,1
15671137,Female,52,1,1
15782688,Male,56,0,1
15575492,Female,41,0,0
15591607,Male,24,0,0
15740404,Female,34,1,0
15718369,Female,33,1,0
15677871,Male,38,1,0
15642004,Male,25,1,0
15712543,Male,39,1,0
15584518,Female,50,1,0
15802381,Female,34,1,0
15610156,Male,40,1,0
15594408,Female,48,0,1
15640905,Female,35,1,1
15698932,Male,44,0,0
15724944,Male,34,1,0
15628145,Female,43,1,0
15713483,Male,52,0,1
15612350,Female,31,0,1
15800703,Female,21,1,0
15705707,Female,29,0,0
15754105,Male,37,0,0
15703264,Male,44,0,0
15794413,Male,32,1,0
15650237,Female,32,0,0
15759618,Female,48,0,1
15811589,Male,42,0,0
15689044,Male,37,0,0
15709368,Female,43,1,0
15679145,Male,57,0,1
15655007,Female,33,0,0
15623595,Female,28,1,0
15589975,Female,73,1,0
15804017,Female,33,0,0
15692132,Female,22,1,0
15641122,Male,30,0,0
15630910,Female,49,0,0
15680772,Female,36,1,0
15658929,Male,29,0,1
15585388,Male,31,1,0
15724623,Female,24,0,1
15588537,Female,41,0,0
15574692,Female,39,0,1
15611325,Male,24,0,0
15587562,Female,29,0,0
15613172,Male,27,0,0
15651022,Male,44,0,1
15586310,Male,30,0,0
15625524,Male,40,1,0
15755209,Female,35,1,0
15645248,Female,30,1,0
15790355,Male,36,0,0
15762615,Female,40,1,0
15625426,Female,55,0,1
15716334,Female,45,1,0
15789669,Male,65,1,0
15621075,Female,45,0,0
15810845,Male,42,1,0
15719377,Female,50,1,1
15654506,Male,32,0,0
15771977,Female,39,0,0
15708710,Female,37,1,0
15726676,Male,30,1,0
15587421,Female,34,0,0
15726931,Female,41,0,1
15771086,Female,36,0,0
15756850,Male,40,0,0
15702741,Male,32,0,0
15679200,Male,29,0,0
15594815,Male,35,1,0
15635905,Female,32,1,0
15777892,Male,37,1,0
15656176,Male,57,1,0
15811127,Male,35,0,0
15604482,Male,30,1,0
15622911,Male,42,1,0
15600974,Male,50,1,1
15727868,Female,38,1,1
15627801,Male,33,0,0
15773039,Male,37,1,0
15755262,Female,41,0,1
15679531,Male,34,1,0
15684181,Male,45,0,1
15612087,Male,45,1,0
15752047,Male,33,0,0
15624592,Male,31,1,0
15573152,Female,41,0,0
15594917,Female,34,1,0
15785542,Male,26,0,0
15723488,Male,47,1,1
15680920,Male,46,0,0
15786308,Female,33,0,0
15659366,Male,43,0,1
15774854,Male,54,1,1
15725311,Female,31,1,0
15787155,Male,30,1,0
15727829,Male,42,1,0
15733247,Male,33,0,1
15568748,Male,45,1,1
15699029,Male,37,0,0
15774393,Female,30,1,0
15676895,Female,39,1,1
15637753,Male,50,0,1
15605461,Female,29,0,0
15808473,Male,72,1,0
15627000,Male,40,0,0
15787174,Female,37,1,0
15723886,Male,20,1,0
15704769,Female,67,1,0
15772896,Male,42,0,1
15711540,Female,29,1,0
15764866,Female,43,0,1
15794056,Female,46,0,1
15795149,Male,28,1,0
15812009,Male,38,0,0
15651001,Female,39,0,0
15813844,Male,37,1,0
15596175,Male,67,1,1
15576269,Male,34,0,0
15797219,Female,40,0,1
15685500,Male,26,0,0
15599792,Female,26,1,0
15657566,Male,24,1,0
15772423,Male,54,0,1
15628112,Female,36,0,0
15753754,Female,34,1,0
15793726,Female,79,1,0
15694717,Male,37,1,0
15665834,Male,28,0,0
15765297,Male,41,1,0
15636684,Male,34,1,0
15592979,Female,34,0,0
15750803,Female,30,1,0
15607178,Male,38,1,0
15713853,Male,42,1,0
15673481,Female,48,0,0
15686776,Female,32,0,0
15673693,Female,26,1,0
15700696,Male,31,1,0
15813163,Female,36,0,0
15653857,Male,34,1,0
15777076,Male,36,0,0
15717398,Female,39,0,1
15799217,Female,35,0,0
15787071,Male,41,1,0
15619955,Male,34,0,1
15796505,Female,34,1,0
15725166,Male,30,0,0
15800116,Male,28,1,0
